Common name,Scientific name,Keyword
abalone,Haliotis diversicolor,Tropomyosin
American lobster,Homarus americanus,Tropomyosin
Atlantic salmon,Salmo salar,Tropomyosin
black tiger shrimp,Penaeus monodon,Tropomyosin
Blue swimmer crab,Portunus pelagicus,Tropomyosin
brown garden snail,Helix aspersa,Tropomyosin
Common roundworm,Ascaris lumbricoides,Tropomyosin
crab,Charybdis feriatus,Tropomyosin
giant freshwater prawn,Macrobrachium rosenbergii,Tropomyosin
Jade tiger abaolone),Haliotis laevigata x Haliotis rubra,Tropomyosin
King prawn,Melicertus latisulcatus,Tropomyosin
Mozambique tilapia,Oreochromis mossambicus,Tropomyosin
Mud crab,Scylla paramamosain,Tropomyosin
North Sea shrimp,Crangon crangon,Tropomyosin
Northern shrimp,Pandalus borealis,Tropomyosin
Pacific oyster,Crassostrea gigas,Tropomyosin
Red swamp crayfish,Procambarus clarkii,Tropomyosin
scallop,Mimachlamys nobilis,Tropomyosin
shrimp,Penaeus aztecus,Tropomyosin
shrimp,Metapenaeus ensis,Tropomyosin
spiny lobster,Panulirus stimpsoni,Tropomyosin
squid,Todarodes pacificus,Tropomyosin
Sydney rock oyster),Saccostrea glomerata,Tropomyosin
tropical green mussel,Perna viridis,Tropomyosin
White legged freshwater shrimp,Exopalaemon modestus,Tropomyosin
Whiteleg shrimp,Litopenaeus vannamei,Tropomyosin
barley,Hordeum vulgare,Profilin
bell pepper,Capsicum annuum,Profilin
carrot,Daucus carota,Profilin
celery,Apium graveolens,Profilin
Eggplant,Solanum melongena,Profilin
English walnut,Juglans regia,Profilin
hazelnut,Corylus avellana,Profilin
Kiwi fruit,Actinidia deliciosa,Profilin
litchi,Litchi chinensis,Profilin
"maize, corn",Zea mays,Profilin
muskmelon,Cucumis melo,Profilin
peach,Prunus persica,Profilin
peanut,Arachis hypogaea,Profilin
pear,Pyrus communis,Profilin
pineapple,Ananas comosus,Profilin
rice,Oryza sativa,Profilin
saffron crocus,Crocus sativus,Profilin
Strawberry,Fragaria ananassa,Profilin
sweet orange,Citrus sinensis,Profilin
tomato,Lycopersicon esculentum,Profilin
tomato,Lycopersicon esculentum,Profilin
wheat,Triticum aestivum,Profilin
white mustard,Sinapis alba,Profilin
asparagus,Asparagus officinalis,Lipid transfer protein
Cabbage and others,Brassica oleracea,Lipid transfer protein
English walnut,Juglans regia,Lipid transfer protein
European plum,Prunus domestica,Lipid transfer protein
grape,Vitis vinifera,Lipid transfer protein
hazelnut,Corylus avellana,Lipid transfer protein
lemon,Citrus limon,Lipid transfer protein
lettuce,Lactuca sativa,Lipid transfer protein
peach,Prunus persica,Lipid transfer protein
pear,Pyrus communis,Lipid transfer protein
sunflower,Helianthus annuus,Lipid transfer protein
sweet cherry,Prunus avium,Lipid transfer protein
sweet orange,Citrus sinensis,Lipid transfer protein
tomato,Lycopersicon esculentum,Lipid transfer protein
Brazil nut,Bertholletia excelsa,2S albumin
Castor bean,Ricinus communis,2S albumin
English walnut,Juglans regia,2S albumin
Flaxseed,Linum usitatissimum,2S albumin
hazelnut,Corylus avellana,2S albumin
oriental mustard,Brassica juncea,2S albumin
Pumpkin,Cucurbita maxima,2S albumin
sesame,Sesamum indicum,2S albumin
soybean,Glycine max,2S albumin
Stone pine,Pinus pinea,2S albumin
Tartarian buckwheat,Fagopyrum tataricum,2S albumin
white mustard,Sinapis alba,2S albumin
Atlantic herring,Clupea harengus,Beta-parvalbumin
Australian saltwater crocodile,Crocodylus porosus,Beta-parvalbumin
Barramundi,Lates calcarifer,Beta-parvalbumin
Grass carp,Ctenopharyngodon idella,Beta-parvalbumin
"Megrim, Whiff, Gallo",Lepidorhombus whiffiagonis,Beta-parvalbumin
"Ocean perch, redfish, snapper",Sebastes marinus,Beta-parvalbumin
Pacific pilchard,Sardinops sagax,Beta-parvalbumin
Rainbow trout,Oncorhynchus mykiss,Beta-parvalbumin
Swordfish,Xiphias gladius,Beta-parvalbumin
Yellowfin tuna,Thunnus albacares,Beta-parvalbumin
abalone,Haliotis midae,N
apple,Malus domestica,N
apple,Malus domestica,N
carrot,Daucus carota,N
hazelnut,Corylus avellana,N
rice,Oryza sativa,N
soybean,Glycine max,N
sweet cherry,Prunus avium,N
wheat,Triticum aestivum,N
Atlantic salmon,Salmo salar,Triosephosphate isomerase
black tiger shrimp,Penaeus monodon,Triosephosphate isomerase
Crustacean species,Archaeopotamobius sibiriensis,Triosephosphate isomerase
Mud crab,Scylla paramamosain,Triosephosphate isomerase
North Sea shrimp,Crangon crangon,Triosephosphate isomerase
Red swamp crayfish,Procambarus clarkii,Triosephosphate isomerase
Striped catfish,Pangasianodon hypophthalmus,Triosephosphate isomerase
Atlantic mackerel,Scomber scombrus,parvalbumin
Atlantic salmon,Salmo salar,parvalbumin
blue mackerel,Scomber australasicus,parvalbumin
chub mackerel,Scomber japonicus,parvalbumin
common carp,Cyprinus carpio,parvalbumin
Indian mackerel,Rastrelliger kanagurta,parvalbumin
common buckwheat,Fagopyrum esculentum,Vicilin
English walnut,Juglans regia,Vicilin
Korean pine,Pinus koraiensis,Vicilin
lentil,Lens culinaris,Vicilin
Macadamia,Macadamia integrifolia,Vicilin
pea,Pisum savitum,Vicilin
